Tin #,Full Sample ID,Color,Pre-burned pan,Dry Snail Weight,Ashed Snails + Ashed Tin,Date weighed,Date ashed,Notes
143,CRR2_2,R,208.081,0.123,208.174,20251029,20251028,
144,CRB4_3,B,208.366,0.331,208.627,20251029,20251028,
145,CRR6_2,R,209.044,0.314,209.284,20251029,20251028,
146,BRG6_2,G,208.643,0.103,208.727,20251029,20251028,
147,CRB5_2,B,210.772,0.233,210.948,20251029,20251028,
148,CRG5_2,G,209.671,0.076,209.727,20251029,20251028,
149,CRG1_2,G,209.748,0.141,209.85,20251029,20251028,
150,CRR4_2,R,210.109,0.187,210.25,20251029,20251028,
151,BRG2_2,G,210.383,0.075,210.435,20251029,20251028,
152,BRG1_2,G,208.152,0.095,208.225,20251029,20251028,
153,BRP5_2,P,207.675,0.097,207.752,20251029,20251028,
154,CRP6_2,P,207.959,0.184,208.098,20251029,20251028,
155,CRG4_2,G,209.732,0.263,209.908,20251029,20251028,
156,BRR5_2,R,209.614,0.055,209.652,20251029,20251028,
157,RIG5_2,G,210.28,0.116,210.354,20251029,20251028,
158,CRR1_2,R,208.738,0.331,208.978,20251029,20251028,
159,BRG5_2,G,208.828,0.177,208.947,20251029,20251028,
160,RIR6_2,R,209.13,0.265,209.316,20251029,20251028,
161,BRB5_2,B,210.389,0.214,210.537,20251029,20251028,
162,CRG2_2,G,207.873,0.121,207.97,20251029,20251028,
163,CRB1_2,B,209.49,0.178,209.605,20251029,20251028,
164,CRR5_2,R,210.003,0.348,210.21,20251029,20251028,
165,RIG1_2,G,208.35,0.123,208.441,20251029,20251028,
166,CRB2_2,B,210.145,0.318,210.364,20251029,20251028,
167,RIG6_2,G,209.844,0.167,209.968,20251029,20251028,
168,RIP1_2,P,210.689,0.088,210.751,20251029,20251028,
169,CRG6_2,G,209.885,0.203,210.032,20251029,20251028,
170,BRG3_2,G,208.48,0.433,208.768,20251029,20251028,
171,RIB6_2,B,209.927,0.337,210.176,20251029,20251028,
172,CRB6_2,B,210.057,0.131,210.171,20251029,20251028,
