Tin,Full.Sample.ID,Color,Pre.burned.pan,Dry.Snail.Weight,Ashed.Snails.Ashed.Tin,Date.weighed,Date.ashed,Tissue.Mass,Shell.Mass,Notes,,Notes2,
68,RIB5_2,B,207.516,0.058,207.549,20251014,20251014,0.025,0.033,Didn't look fragmented,,,
134,RIB6_1,B,208.976,0.447,209.318,20251029,20251028,0.105,0.342,,,,
171,RIB6_2,B,209.927,0.337,210.176,20251029,20251028,0.088,0.249,,,,
65,RIG2_2,G,205.975,0.276,206.152,20251014,20251014,0.099,0.177,,,,Only one RIG2
102,RIG3_1,G,208.763,0.067,208.815,20251022,20251020,0.015,0.052,,,,Missing rig 5 and rig 6
69,RIG3_2,G,207.567,NA,NA,20251014,20251014,NA,NA,Tube empty,,,
12,RIG4_1,G,206.594,0.218,206.377,20251006,20251008,0.435,-0.217,,,,
61,RIG4_2,G,206.744,0.199,206.879,20251014,20251014,0.064,0.135,,,,
131,RIP1_1,P,208.821,0.075,208.869,20251029,20251028,0.027,0.048,,,,
168,RIP1_2,P,210.689,0.088,210.751,20251029,20251028,0.026,0.062,,,,
82,RIP2_10,P,205.838,0.123,205.914,20251014,20251014,0.047,0.076,,,,
1,RIP2_9,P,206.11,0.089,NA,20251006,20251008,NA,NA,Combined with Tin 2,,,
4,RIP3_1,P,206.128,0.228,206.278,20251006,20251008,0.078,0.15,,,,
79,RIP3_2,P,207.461,0.193,207.593,20251014,20251014,0.061,0.132,,,,
5,RIP4_1,P,207.76,0.196,207.919,20251006,20251008,0.037,0.159,,,,
78,RIP4_2,P,207.908,0.167,208.039,20251014,20251014,0.036,0.131,,,,
9,RIP5_1,P,207.865,NA,NA,20251006,20251008,NA,NA,Lost in transfer,,,
64,RIP5_2,P,207.766,0.074,207.826,20251014,20251014,0.014,0.06,,,,
100,RIP6_1,P,206.605,0.093,206.674,20251022,20251020,0.024,0.069,,,,
67,RIP6_2,P,206.942,0.161,207.057,20251014,20251014,0.046,0.115,,,,
98,RIR1_1,R,209.661,0.162,209.777,20251022,20251020,0.046,0.116,,,,
136,RIR1_2,R,210.162,0.055,210.287,20251029,20251028,-0.07,0.125,,,,
2,RIR2_1,R,206.062,0.026,206.075,20251006,20251008,0.013,0.013,,,,
81,RIR2_2,R,205.408,0.291,205.552,20251014,20251014,0.147,0.144,,,,
73,RIR3_1,R,206.297,0.134,206.388,20251014,20251014,0.043,0.091,,,,
113,RIR3_2,R,210.422,0.235,210.579,20251022,20251020,0.078,0.157,,,,
3,RIR4_1,R,207.199,0.115,207.289,20251006,20251008,0.025,0.09,,,,
80,RIR4_2,R,207.327,0.453,207.58,20251014,20251014,0.2,0.253,,,,
55,RIR5_1,R,206.607,0.128,206.69,20251014,20251014,0.045,0.083,,,,
106,RIR5_2,R,209.33,0.056,209.362,20251022,20251020,0.024,0.032,,,,
123,RIR6_1,R,209.386,0.276,209.575,20251029,20251028,0.087,0.189,,,,
160,RIR6_2,R,209.13,0.265,209.316,20251029,20251028,0.079,0.186,,,,
